Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2012-09-30,1.1735,0.5064,1.7814,21.3437,10.4085,10.4085,,5.5334,4.2174,0.1807,1.1302,0.9894,90.9663,2.9208,3.6693,0.7619,1.4417,0.0,-0.4881,-1.3829
2012-06-30,1.1701,0.5083,1.7353,22.6527,6.7443,6.7443,,6.9831,5.2451,0.1813,1.1782,0.9758,92.231,3.6243,4.5567,0.9507,1.7819,0.0,0.6237,-0.727
2012-03-31,1.2041,0.3553,0.6948,23.4941,8.1375,8.1375,,7.3266,4.9535,0.1769,1.1113,0.9444,95.2945,3.1233,3.8767,0.8763,2.0136,0.0,-0.5794,-1.7884
2011-12-31,1.1142,0.4618,1.5039,23.6,6.7009,6.7009,,7.0619,5.9004,0.1901,1.2626,0.9912,90.7989,4.0194,5.0229,1.1216,2.1633,0.0,-1.4344,-3.2018
2011-09-30,1.1688,0.457,1.4442,23.6695,6.4153,6.4153,,7.6037,5.1501,0.1832,1.1788,0.9832,91.5339,3.3524,4.1937,0.9438,1.8204,0.0,0.071,-1.0003
2011-06-30,1.1546,0.4326,1.4046,24.8564,10.3069,10.3069,,9.5175,6.1015,0.1946,1.2332,1.0383,86.6801,4.1762,5.2203,1.1871,2.3696,0.0,1.0506,-1.2678
2011-03-31,1.136,0.4148,1.3429,22.1145,15.1749,15.1749,,7.0234,4.7717,0.2013,1.1935,1.0696,84.1474,3.3214,4.1352,0.9604,1.9437,0.0,-0.5963,-0.5412
2010-12-31,1.0727,0.4233,1.4144,24.0703,4.7357,4.7357,,5.7756,4.3188,0.1977,1.4236,1.0587,85.0064,3.0551,3.808,0.8536,1.7618,0.0,0.2659,-1.1881
2010-09-30,1.1019,0.4462,1.5286,22.5637,15.8078,15.8078,,8.5695,6.4218,0.1987,1.3223,1.1001,81.8101,4.8359,6.0976,1.2759,2.6781,0.0,4.3085,3.3399
2010-06-30,1.1573,0.4913,1.624,23.1554,9.361,9.361,,7.3965,5.2256,0.187,1.3188,0.9826,91.5922,3.8437,4.8655,0.9774,1.9555,0.0,2.3888,1.9572
2010-03-31,1.182,0.5121,1.7706,22.3939,2.2819,2.2819,,4.8631,2.8886,0.1545,1.169,0.8499,105.8948,1.822,2.322,0.4463,0.889,0.0,2.8895,1.9106
2009-12-31,1.1418,0.511,1.8316,18.7696,3.1594,3.1594,,0.5419,-1.6508,0.1753,1.4186,1.0497,85.7362,-1.1713,-1.4868,-0.2894,-0.5728,0.0,4.9684,3.7789
2009-09-30,1.1818,0.5259,1.8829,18.965,7.7869,7.7869,,1.4121,0.29,0.1534,1.1582,0.9213,97.6918,0.184,0.2311,0.0445,0.0872,0.0,1.4219,1.1572
2009-06-30,1.1046,0.5086,2.0381,15.236,2.6577,2.6577,,-5.9167,-5.1805,0.1517,1.211,0.9065,99.2819,-3.3783,-4.2339,-0.7861,-1.66,0.0,4.932,4.3393
2009-03-31,1.1473,0.5063,1.9369,12.1137,-6.0734,-6.0734,,-8.6846,-6.8847,0.1364,1.0222,0.8085,111.3236,-3.8862,-4.7777,-0.9387,-1.9186,0.0,3.5969,2.7269
